new entry "Quake_OdinPyro_Eruption"
type "SkillData"
data "SkillType" "Quake"
data "ForGameMaster" "Yes"
data "Ability" "Fire"
data "Tier" "Master"
data "ActionPoints" "3"
data "Cooldown" "5"
data "Damage Multiplier" "90"
data "Damage Range" "10"
data "DamageType" "Fire"
data "SkillProperties" "BURNING,100,2;SLOWED,100,2;IF((HasStatus:OdinPyro_BURNING5)&(Enemy)):OdinPyro_BURNING5,100,2;IF((HasStatus:OdinPyro_BURNING4)&(Enemy)):OdinPyro_BURNING5,100,2;IF((HasStatus:OdinPyro_BURNING3)&(Enemy)):OdinPyro_BURNING4,100,2;IF((HasStatus:OdinPyro_BURNING2)&(Enemy)):OdinPyro_BURNING3,100,2;IF((HasStatus:OdinPyro_BURNING1)&(Enemy)):OdinPyro_BURNING2,100,2;IF((Enemy)&((!HasStatus:OdinPyro_BURNING2)&(!HasStatus:OdinPyro_BURNING3)&(!HasStatus:OdinPyro_BURNING4)&(!HasStatus:OdinPyro_BURNING5))):OdinPyro_BURNING1,100,2;"
data "TotalSurfaceCells" "50"
data "AreaRadius" "13"
data "TargetConditions" "Enemy|Item;!Dead"
data "OverrideSkillLevel" "No"
data "SurfaceMinSpawnRadius" "4000"
data "DeathType" "DoT"
data "ShockWaveDuration" "1000"
data "MinSurfaces" "16"
data "MaxSurfaces" "16"
data "SurfaceType" "Fire"
data "SurfaceGrowStep" "1"
data "SurfaceGrowInterval" "10"
data "SurfaceStatusChance" "100"
data "Icon" "OBPYRO_Skill_Eruption"
data "DisplayName" "Quake_OdinPyro_Eruption_DisplayName"
data "DisplayNameRef" "Eruption"
data "Description" "Quake_OdinPyro_Eruption_Description"
data "DescriptionRef" "Erupt the ground around you, dealing [1], <font color="#fe6e27">Burning</font>, <font color="#c9aa58">Slowing</font>, and <font color="#fe6e27">Scorching</font> all <font color="#aa3938">enemies</font> in the area. <br><br>Creates <font color="#fe6e27">fire surfaces</font> in the eruption radius."
data "StatsDescriptionParams" "Damage;MinSurfaces"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_shout_01_start"
data "PrepareAnimationLoop" "skill_prepare_shout_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_Earth_Root_01,KeepRot:Dummy_Root"
data "CastAnimation" "skill_cast_shout_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Earth_Cast_Shout_Earthquake_Root_01,detach:Dummy_Root:cast;RS3_FX_Skills_Fire_Cast_Shout_Supernova_01,detach:Dummy_Root:cast"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "FireSpecialist 3; EarthSpecialist 2"
data "CycleConditions" "Enemy;!Dead"

