new entry "Storm_OdinPyro_Ragnarok"
type "SkillData"
data "SkillType" "Storm"
data "ForGameMaster" "Yes"
data "Ability" "Fire"
data "Tier" "Master"
data "ActionPoints" "4"
data "Cooldown" "5"
data "TargetRadius" "13"
data "AreaRadius" "10"
data "TargetConditions" "NonSelf;Enemy"
data "OverrideSkillLevel" "No"
data "DeathType" "Incinerate"
data "HitRadius" "1"
data "Lifetime" "1"
data "MinHitsPerTurn" "7"
data "MaxHitsPerTurn" "7"
data "HitDelay" "0"
data "MemorizationRequirements" "FireSpecialist 4;"
data "Icon" "OBPYRO_Skill_Ragnarok"
data "DisplayName" "Storm_OdinPyro_Ragnarok_DisplayName"
data "DisplayNameRef" "Ragnarok"
data "Description" "Storm_OdinPyro_Ragnarok_Description"
data "DescriptionRef" "Flames decimate the area, dealing [1] to enemies in a 3m radius, and leaving <font color="#c92d01">Necrofire surfaces</font>. <br><br>Enemies hit by the flames are afflicted with <font color="#c92d01">Necrofire</font> and a stack of <font color="#fe6e27">Scorch</font>. <br><br><font color="#fe6e27">Ragnarok</font> lasts 1 turn before subsiding."
data "StatsDescriptionParams" "Skill:ProjectileStrike_OdinPyro_Stormbolt_Ragnarok:Damage"
data "FXScale" "120"
data "PrepareAnimationInit" "skill_prepare_touch_01_start"
data "PrepareAnimationLoop" "skill_prepare_touch_01_loop"
data "PrepareEffect" "OdinPyro_Weapon_Prepare_Hand_01:Dummy_R_HandFX;OdinPyro_Prepare_Root_01,KeepRot"
data "CastAnimation" "skill_cast_ground_fire_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "OdinPyro_Cast_AoE_Root_01;RS3_FX_Skills_Fire_Throw_Cast_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX:cast"
data "TargetEffect" "RS3_FX_UI_TargetPreviewer_Fire_01"
data "StormEffect" "OdinPyro_Impact_Ragnarok_02"
data "ImpactEffect" "RS3_FX_Skills_Fire_Impact_01"
data "Memory Cost" "2"
data "Magic Cost" "2"
data "ProjectileSkills" "ProjectileStrike_OdinPyro_Stormbolt_Ragnarok"
data "CycleConditions" "Enemy;!Dead"

