new entry "Wall_OdinPyro_ObsidianWall"
type "SkillData"
data "SkillType" "Wall"
data "ForGameMaster" "Yes"
data "Ability" "Fire"
data "Tier" "Adept"
data "ActionPoints" "1"
data "Cooldown" "5"
data "TargetRadius" "13"
data "MaxDistance" "10"
data "Lifetime" "2"
data "GrowSpeed" "12"
data "GrowTimeout" "0"
data "SurfaceType" "Fire"
data "TotalSurfaceCells" "7"
data "SurfaceGrowStep" "7"
data "SurfaceGrowInterval" "6"
data "SurfaceStatusChance" "100"
data "Icon" "OBPYRO_Skill_MagmaWall"
data "DisplayName" "Wall_OdinPyro_ObsidianWall_DisplayName"
data "DisplayNameRef" "Magma Wall"
data "Description" "Wall_OdinPyro_ObsidianWall_Description"
data "DescriptionRef" "Draw an impassable wall of <font color="#c92d01">magma</font>, spanning up to [1] and lasting 2 turns. This wall creates a <font color="#fe6e27">fire surface</font>."
data "StatsDescriptionParams" "MaxDistance"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_touch_01_start"
data "PrepareAnimationLoop" "skill_prepare_touch_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_Voodoo_Root_01,KeepRot;RS3_FX_Skills_Fire_Prepare_Voodoo_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_target_touch_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Fire_Cast_Target_Voodoo_Root_02,KeepRot;RS3_FX_Skills_Fire_Cast_Target_Voodoo_Hand_02:Dummy_R_HandFX;RS3_FX_Skills_Fire_Cast_Target_Voodoo_Hand_02:Dummy_L_HandFX;RS3_FX_Skills_Fire_Cast_Target_Voodoo_Hand_01:Dummy_L_HandFX:cast"
data "SourceTargetEffect" "OdinPyro_MagmaWall_Preview_01"
data "TargetTargetEffect" "OdinPyro_MagmaWall_Preview_01"
data "Template1" "1695076f-f5bf-4f3b-ae58-2702533f2a6a"
data "Template2" "00f493f1-392c-4b1b-9041-7f58becdb610"
data "Template3" "c47de939-a773-4f11-941b-adef3eebbbfe"
data "SpawnEffect" "RS3_FX_Skills_Fire_Impact_02"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "FireSpecialist 2; EarthSpecialist 1"
data "PreviewEffect" "OdinPyro_MagmaWall_Preview_01"

