new entry "FLAMING_TONGUES"
type "StatusData"
data "StatusType" "ACTIVE_DEFENSE"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "DisplayName" "FLAMING_TONGUES_DisplayName"
data "DisplayNameRef" "Exquisite Firecraft"
data "Description" "FLAMING_TONGUES_Description"
data "DescriptionRef" "Approaching hostiles will be blased with fire damage."
data "Icon" "Skill_Fire_FlamingTongues"
data "FormatColor" "Fire"
data "StatusEffect" "RS3_FX_GP_Status_FlamingTongues_01"
data "StatsId" "Stats_FlamingTongues"
data "StackId" "Stack_FlamingTongues"
data "TargetEffect" "RS3_FX_GP_Status_FlamingTongues_Target_01"
data "Projectile" "Projectile_Status_FlamingTongue"
data "Radius" "5"
data "Charges" "999"
data "TargetConditions" "Character;Enemy;NonSelf"

